lat,lng
-31.9596767,115.8713119
-31.9542769,115.8550611
-31.9415176,115.8553741
-31.9489351,115.844523
-31.9431746,115.8543019
-31.9532265,115.8760764
-31.942201500000003,115.87069449337312
-31.9548606,115.8461792
-31.9409206,115.8789827
-31.95414545,115.87879071177522
-31.9460585,115.8579439
-31.9596767,115.8713119
-31.9572599,115.8722882
-31.9514173,115.8542878
-31.9475186,115.8401701
-31.9568952,115.8753318
-31.9596767,115.8713119
-31.9568952,115.8753318
-31.9623308,115.8795726
-31.9430649,115.8542299
-31.9518067,115.8394963
-31.9596767,115.8713119
-31.9531739,115.870291
-31.9623308,115.8795726
-31.9400417,115.8686404
-31.942201500000003,115.87069449337312
-31.9514173,115.8542878
-31.9401688,115.8662202
-31.9576919,115.8653528
-31.9527121,115.8604796
-31.9542936,115.8807838
-31.944104,115.8600817
-31.9532265,115.8760764
-31.9463907,115.8685587
-31.9469314,115.8573847
-31.9613031,115.8705695
-31.9458128,115.8549391
-31.950874,115.8683565
-31.9541484,115.8443995
-31.9532265,115.8760764
-31.9548606,115.8461792
-31.9518067,115.8394963
-31.9568952,115.8753318
-31.9463907,115.8685587
-31.9423141,115.8562956
-31.94413275,115.86760613915018
-31.9623308,115.8795726
-31.9514173,115.8542878
-31.9419145,115.8610113
-31.9596767,115.8713119
-31.9488356,115.8779443
-31.9398098,115.8679985
-31.9503273,115.8621711
-31.9531739,115.870291
-31.9578443,115.8740042
-31.9413134,115.8553156
-31.9390365,115.8476797
-31.9396765,115.8577376
-31.9440048,115.8734799
-31.9526792,115.8542664
-31.9560745,115.8763606
-31.9448126,115.8563173
-31.9546478,115.8755607
-31.9500744,115.8736066
-31.9531739,115.870291
-31.9393372,115.853629
-31.9475047,115.8559262
-31.9572599,115.8722882
-31.9374169,115.8672213
-31.9390365,115.8476797
-31.9546478,115.8755607
-31.9533622,115.8763328
-31.9502727,115.8801411
-31.9532265,115.8760764
-31.9394571,115.8743128
-31.958772,115.8627876
-31.9469314,115.8573847
-31.9368432,115.854566
-31.9393372,115.853629
-31.9502727,115.8801411
-31.9400417,115.8686404
-31.9568952,115.8753318
-31.9463604,115.8429209
-31.9613031,115.8705695
-31.9541484,115.8443995
-31.9567395,115.8726004
-31.9623308,115.8795726
-31.9477432,115.8769176
44.894624085714284,-76.24691974285714
43.5667629,-80.92321919999999
-31.9514173,115.8542878
-31.93979,115.8705106
-31.9609348,115.8769967
-31.9613031,115.8705695
-31.9623308,115.8795726
-31.9488356,115.8779443
-31.938214,115.8539239
-31.9623308,115.8795726
-31.9562338,115.8447884
-31.9457365,115.8446602
-31.9509587,115.8815756718849
-31.9567395,115.8726004
-31.9560745,115.8763606
-31.9394571,115.8743128
-31.9429868,115.8607973
-31.9488356,115.8779443
-31.9596767,115.8713119
-31.9457365,115.8446602
-31.958772,115.8627876
-31.9463604,115.8429209
-31.9475047,115.8559262
-31.9474472,115.8427606
-31.9394571,115.8743128
-31.9463604,115.8429209
-31.9560745,115.8763606
-31.9521008,115.8729053
-31.9449892,115.8531079
-31.9532265,115.8760764
43.56522985,-80.92322899999999
-31.9514173,115.8542878
-31.9514173,115.8542878
-31.9532265,115.8760764
-31.9368432,115.854566
-31.9375776,115.8583322
-31.9413134,115.8553156
-31.9477432,115.8769176
-31.9481913,115.8387402
-31.9428544,115.8641907
-31.9596767,115.8713119
-31.9488356,115.8779443
-31.9396765,115.8577376
-31.9531739,115.870291
-31.9623308,115.8795726
-31.9448126,115.8563173
-31.9541484,115.8443995
-31.9596767,115.8713119
-31.9542769,115.8550611
-31.9537719,115.8807787
-31.9578996,115.8658929
-31.9478851,115.8425383
-31.9390365,115.8476797
-31.9518067,115.8394963
-31.9532265,115.8760764
-31.9430649,115.8542299
-31.9613031,115.8705695
-31.9420642,115.8726926
-31.9429868,115.8607973
-31.9486981,115.8421417
-31.9461972,115.8744347
-31.9442894,115.8550074
-31.9510139,115.8729551
-31.9523356,115.8514593
-31.9413134,115.8553156
-31.9568952,115.8753318
-31.9394571,115.8743128
-31.9429868,115.8607973
-31.9532265,115.8760764
-31.9475186,115.8401701
-31.9568952,115.8753318
-31.955058,115.8518197
-31.9514173,115.8542878
-31.9431746,115.8543019
-31.9541484,115.8443995
-31.94413275,115.86760613915018
-31.9525822,115.8399606
-31.9419145,115.8610113
-31.9596767,115.8713119
-31.9503273,115.8621711
-31.9525822,115.8399606
-31.9460332,115.8420103
-31.9486529,115.8480837
-31.9567395,115.8726004
-31.9523356,115.8514593
-31.9596767,115.8713119
-31.9568952,115.8753318
-31.9596767,115.8713119
-31.9571386,115.8761899
-31.9609348,115.8769967
-31.9431746,115.8543019
-31.9368432,115.854566
-31.9511437,115.8751807
-31.9596767,115.8713119
-31.9487626,115.842336
-31.9567395,115.8726004
-31.9596767,115.8713119
-31.9413761,115.8654625
-31.9521008,115.8729053
-31.9532265,115.8760764
-31.9429868,115.8607973
-31.944923,115.8581013
-31.9415176,115.8553741
-31.9596767,115.8713119
-31.9546478,115.8755607
-31.9515181,115.8745848
-31.9449436,115.842084
-31.9477432,115.8769176
-31.944923,115.8581013
-31.9596767,115.8713119
-31.955058,115.8518197
-31.9421033,115.8704817
-31.9546478,115.8755607
-31.9588323,115.8579925
-31.9568952,115.8753318
-31.9514173,115.8542878
-31.9426961,115.8765788
-31.9431746,115.8543019
-31.9419145,115.8610113
-31.9596767,115.8713119
-31.9460585,115.8579439
-31.9562338,115.8447884
-31.9418004,115.8470361
-31.9596767,115.8713119
-31.955058,115.8518197
-31.958772,115.8627876
-31.9368432,115.854566
-31.9596767,115.8713119
-31.9477432,115.8769176
-31.9578443,115.8740042
52.5658458,-1.9851197
-31.924787,115.8592602
-31.9530084,115.8752848
-31.9394571,115.8743128
-31.944983,115.8774871
-31.9408851,115.8517265
-31.9457365,115.8446602
42.112820061869634,-71.67450999529902
40.50726788888888,-74.26355422222221
-31.955058,115.8518197
-31.9526792,115.8542664
-31.9532265,115.8760764
-31.9481913,115.8387402
-31.9596767,115.8713119
-31.9412104,115.8596819
-31.9394912,115.8657044
-31.9368432,115.854566
-31.955058,115.8518197
-31.9500279,115.8501483
-31.9460585,115.8579439
-31.9431746,115.8543019
-31.9422837,115.8597148
-31.9596767,115.8713119
43.5665899,-80.9236266
-31.9368432,115.854566
-31.9567395,115.8726004
-31.9576919,115.8653528
-31.9394571,115.8743128
-31.9562338,115.8447884
-31.9421821,115.8638939
-31.9546478,115.8755607
-31.9548606,115.8461792
-31.9448126,115.8563173
-31.93766,115.8513186
-31.9623308,115.8795726
-31.9421033,115.8704817
-31.9431746,115.8543019
-31.9525822,115.8399606
-31.9488356,115.8779443
-31.958772,115.8627876
-31.9448126,115.8563173
-31.954033,115.8701703
-31.9596767,115.8713119
-31.9420642,115.8726926
-31.9486588,115.841571
-31.9546478,115.8755607
-31.9503273,115.8621711
-31.9431746,115.8543019
-31.942201500000003,115.87069449337312
-31.9553097,115.8801342
-31.9400417,115.8686404
-31.9368432,115.854566
-31.955058,115.8518197
-31.9440048,115.8734799
-31.938214,115.8539239
-31.9568952,115.8753318
-31.9403365,115.860341
-31.9446126,115.8548012
-31.9368432,115.854566
-31.9469314,115.8573847
-31.9420642,115.8726926
-31.9373197,115.8505428
-31.9532265,115.8760764
-31.9460585,115.8579439
-31.9447308,115.8605431
-31.9448126,115.8563173
-31.942201500000003,115.87069449337312
-31.9486594,115.8671798
-31.9373035,115.8513427
-31.9578443,115.8740042
-31.9477432,115.8769176
-31.9613031,115.8705695
-31.9431746,115.8543019
-31.9442212,115.8557902
-31.9431746,115.8543019
-31.9460585,115.8579439
-31.9478851,115.8425383
-31.9418004,115.8470361
-31.9413134,115.8553156
-31.9486981,115.8421417
-31.9596767,115.8713119
-31.9596767,115.8713119
-31.9532265,115.8760764
-31.9475047,115.8559262
-31.9390365,115.8476797
-31.9546478,115.8755607
-31.955058,115.8518197
-31.9413134,115.8553156
-31.9553097,115.8801342
-31.9596767,115.8713119
-31.9509575,115.86348450373202
-31.9576919,115.8653528
-31.9568952,115.8753318
-31.958772,115.8627876
-31.9486981,115.8421417
-31.9572599,115.8722882
-31.9596767,115.8713119
-31.9546478,115.8755607
-31.9596767,115.8713119
-31.955058,115.8518197
-31.9525822,115.8399606
-31.9511437,115.8751807
-31.9368432,115.854566
-31.9401688,115.8662202
-31.958772,115.8627876
-31.9486981,115.8421417
-31.9596767,115.8713119
-31.9477432,115.8769176
-31.9400417,115.8686404
-31.950874,115.8683565
-31.9457365,115.8446602
-31.9532265,115.8760764
-31.9415176,115.8553741
-31.9576919,115.8653528
-31.9419145,115.8610113
-31.9526792,115.8542664
-31.9514173,115.8542878
-31.9548606,115.8461792
-31.9430649,115.8542299
-31.950874,115.8683565
-31.9542936,115.8807838
-31.9542769,115.8550611
-31.9523356,115.8514593
-31.9523356,115.8514593
-31.9426961,115.8765788
-31.9514173,115.8542878
-31.9596767,115.8713119
-31.9596767,115.8713119
-31.9613031,115.8705695
-31.9560745,115.8763606
-31.9420642,115.8726926
-31.9431746,115.8543019
-31.9514173,115.8542878
-31.9401688,115.8662202
-31.9413134,115.8553156
-31.9548606,115.8461792
-31.9413134,115.8553156
-31.954033,115.8701703
-31.9431746,115.8543019
-31.9578996,115.8658929
43.566880819999994,-80.92340568
-31.944983,115.8774871
-31.958772,115.8627876
-31.9418004,115.8470361
-31.955058,115.8518197
-31.9578443,115.8740042
-31.9546478,115.8755607
-31.9596767,115.8713119
-31.9596767,115.8713119
-31.9460585,115.8579439
-31.9463907,115.8685587
-31.9469314,115.8573847
-31.9486981,115.8421417
-31.9548606,115.8461792
-31.955058,115.8518197
-31.9418004,115.8470361
-31.9539905,115.8449682
-31.9525822,115.8399606
-31.9623308,115.8795726
-31.9442212,115.8557902
-31.9623308,115.8795726
-31.9397036,115.87316910498669
-31.9475047,115.8559262
-31.9475186,115.8401701
-31.9393372,115.853629
-31.9613031,115.8705695
-31.9384724,115.86744
-31.9525822,115.8399606
-31.9514449,115.8780842
-31.9457365,115.8446602
-31.9576919,115.8653528
-31.94413275,115.86760613915018
-31.9446126,115.8548012
-31.9531739,115.870291
-31.942201500000003,115.87069449337312
-31.955058,115.8518197
-31.94413275,115.86760613915018
-31.9418726,115.8749331
-31.9596767,115.8713119
-31.9526792,115.8542664
-31.9423141,115.8562956
-31.9463907,115.8685587
-31.9469314,115.8573847
-31.9532265,115.8760764
-31.9596767,115.8713119
-31.9578443,115.8740042
-31.9503273,115.8621711
-31.9413134,115.8553156
-31.9494748,115.8806066
-31.9431746,115.8543019
-31.9413134,115.8553156
-31.94413275,115.86760613915018
-31.94413275,115.86760613915018
-31.9401688,115.8662202
-31.9413134,115.8553156
-31.9417695,115.8747089
-31.9572599,115.8722882
-31.9525822,115.8399606
-31.9568952,115.8753318
-31.9609348,115.8769967
-31.9503273,115.8621711
43.46989702222222,-81.19966373333332
-31.9596767,115.8713119
-31.9514173,115.8542878
-31.94413275,115.86760613915018
-31.9368432,115.854566
-31.9596767,115.8713119
-31.9568952,115.8753318
-31.9623308,115.8795726
-31.9596767,115.8713119
-31.9420642,115.8726926
-31.9568952,115.8753318
-31.9613031,115.8705695
-31.9400417,115.8686404
-31.9489351,115.844523
-31.9532265,115.8760764
-31.9533622,115.8763328
-31.9444025,115.8646905
-31.9514173,115.8542878
-31.9519541,115.8591992
-31.9560745,115.8763606
-31.9514173,115.8542878
-31.9429868,115.8607973
-31.9526792,115.8542664
-31.9368432,115.854566
-31.9609348,115.8769967
-31.9486981,115.8421417
-31.9548606,115.8461792
-31.9416948,115.8628568
-31.9560745,115.8763606
-31.9368432,115.854566
-31.9609348,115.8769967
-31.9542287,115.878402
-31.9523356,115.8514593
-31.9502727,115.8801411
-31.9393882,115.8612674
-31.9368432,115.854566
-31.9560745,115.8763606
-31.9560745,115.8763606
-31.9409206,115.8789827
-31.9486594,115.8671798
-31.9542769,115.8550611
-31.9578996,115.8658929
-31.9448126,115.8563173
-31.9448126,115.8563173
-31.9368432,115.854566
-31.942201500000003,115.87069449337312
-31.958772,115.8627876
