price,address,date_sold,bedroom,bathroom,carport,dwelling
311000,59/418 Murray Street,2019-11-29,2,1,1,Apartment
370000,33/375 Hay Street,2019-11-28,2,2,1,Apartment
455000,9/76 Newcastle Street,2019-11-27,2,2,1,Apartment
189000,13/154 Newcastle Street,2019-11-27,1,1,1,Apartment
1410000,2502/237 Adelaide Terrace,2019-11-26,3,2,2,Apartment
625188,"Lot 9, 45 Forbes Road",2019-11-23,3,2,2,Townhouse
295800,22/226 Beaufort Street,2019-11-20,1,1,1,Apartment
499000,58/369 Hay Street,2019-11-19,3,2,2,Apartment
419000,54/369 Hay Street,2019-11-18,2,2,1,Apartment
240000,2A/811 HAY STREET,2019-11-18,1,1,0,Apartment
729500,22/128 Mounts Bay Road,2019-11-16,3,2,2,Apartment
560000,9/569 Wellington Street,2019-11-15,2,2,1,Apartment
285000,110/15 Aberdeen St,2019-11-15,1,1,1,Apartment
630000,105/22 St Georges Terrace,2019-11-14,2,2,1,Apartment
680000,58 Bulwer Street,2019-11-13,2,1,2,House
520000,1506/105 Stirling Street,2019-11-13,2,2,2,Apartment
600000,63/128 Mounts Bay Road,2019-11-13,3,2,2,Apartment
700000,2/168 Mounts Bay Road,2019-11-07,3,2,2,Apartment
400000,40/154 Newcastle St,2019-11-06,2,2,1,Apartment
225000,14/120 Terrace Road,2019-11-06,1,1,1,Unit
660000,21 Brookman Street,2019-11-05,3,1,1,House
645000,15/34 Palmerston Street,2019-11-05,2,2,1,Apartment
772000,11/45 Stuart Street,2019-11-04,3,2,2,Townhouse
300000,107/15 Aberdeen Street,2019-11-04,1,1,1,Apartment
418000,14/117 Brisbane Street,2019-11-03,3,1,2,Apartment
270000,52/133 Lincoln Street,2019-11-01,2,1,1,Apartment
267000,M8/811 Hay Street,2019-10-30,1,1,0,Apartment
850000,5 Pisconeri Street,2019-10-29,3,2,2,House
720000,64/128 Mounts Bay Road,2019-10-24,3,2,2,Apartment
510000,62/22 St Georges Terrace,2019-10-23,2,2,1,Apartment
580000,39 West Parade,2019-10-23,2,1,1,House
245000,9/101 Murray Street,2019-10-18,1,1,1,Apartment
845000,16 Hope Street,2019-10-18,3,1,1,House
293000,54/101 Murray Street,2019-10-15,1,1,1,House
850000,48B Bulwer Street,2019-10-15,3,2,2,House
175000,9/133 Lincoln Street,2019-10-14,1,1,0,Unit
482388,6/478 William Street,2019-10-14,3,2,2,Apartment
465000,1205/237 Adelaide Terrace,2019-10-13,2,2,1,Apartment
360000,53/154 Newcastle Street,2019-10-11,2,2,1,Apartment
625000,14/137-142 Lake Street,2019-10-10,2,2,1,Apartment
680000,117 Summers Street,2019-10-09,3,1,2,House
275000,19/8 James Street,2019-10-09,2,1,1,Apartment
555000,35/229 Adelaide Terrace,2019-10-09,2,2,2,Apartment
602000,1514/380 Murray Street,2019-10-07,2,1,0,Apartment
397000,33/280 Lord Street,2019-10-05,2,2,2,Apartment
541000,1502/600 Wellington Street,2019-10-03,1,1,1,Apartment
401000,1503/600 Wellington Street,2019-10-03,1,1,0,Apartment
705000,112 Bulwer Street,2019-10-03,2,1,0,House
493000,3003/600 Wellington Street,2019-10-02,1,1,1,Apartment
515000,57/580 Hay Street,2019-10-02,3,2,1,Apartment
988000,3001/600 Wellington Street,2019-10-01,3,2,2,Apartment
445000,54/76 Newcastle St,2019-09-27,2,2,2,Apartment
549000,5/117 Lake Street,2019-09-26,2,2,1,Townhouse
395000,802/237 Adelaide Terrace,2019-09-18,2,2,1,Apartment
205000,3/122 Terrace Road,2019-09-18,1,1,1,Apartment
275000,701/9 Victoria Avenue,2019-09-14,1,1,1,Apartment
415000,7/296 Newcastle Street,2019-09-14,2,2,1,Apartment
345000,49/122 Mounts Bay Road,2019-09-13,2,2,1,Apartment
520000,1305/105 Stirling Street,2019-09-10,2,2,2,Apartment
424000,"Lot 77, 1304/78 Stirling Street ",2019-09-10,1,1,1,Apartment
930000,34 Chapman Street,2019-09-10,3,2,2,House
416000,"Lot 68, 1204/78 Stirling Street ",2019-09-09,1,1,1,Apartment
165000,603/12 Victoria Avenue,2019-09-05,1,1,0,Apartment
340000,66/996 Hay Street,2019-09-05,2,1,1,Apartment
394000,24/10 Pendal Lane,2019-09-04,2,2,2,Apartment
255000,22/132 Mounts Bay Road,2019-09-04,2,1,1,Apartment
250000,2/118 Mounts Bay Road,2019-09-03,1,1,1,Apartment
500000,18/369 Hay Street,2019-09-02,3,2,2,Apartment
