lat,lng
-31.9463604,115.8429209
-31.9623308,115.8795726
-31.9613031,115.8705695
43.5666328,-80.923318
-31.9457365,115.8446602
-31.9596767,115.8713119
-31.94413275,115.86760613915018
-31.9488356,115.8779443
-31.9527121,115.8604796
-31.9475047,115.8559262
-31.944923,115.8581013
-31.944923,115.8581013
-31.9527121,115.8604796
-31.9613031,115.8705695
-31.9488356,115.8779443
-31.9477545,115.8477415
-31.9623308,115.8795726
-31.943278,115.8542332
-31.9487648,115.8679685
-31.9578996,115.8658929
-31.954341,115.8778894
-31.9560745,115.8763606
-31.955058,115.8518197
-31.9418726,115.8749331
-31.9623308,115.8795726
-31.954341,115.8778894
-31.958772,115.8627876
-31.9486588,115.841571
-31.9546478,115.8755607
-31.9542769,115.8550611
-31.9394571,115.8743128
-31.9418726,115.8749331
-31.9488356,115.8779443
-31.9373197,115.8505428
-31.9488356,115.8779443
-31.9567395,115.8726004
-31.9411398,115.8811075
-31.9427623,115.8479793
-31.9448126,115.8563173
-31.9532265,115.8760764
-31.9411398,115.8811075
-31.9475985,115.8718036
-31.955058,115.8518197
-31.9488356,115.8779443
-31.9562338,115.8447884
-31.9533622,115.8763328
-31.9574335,115.8760542
-31.9394571,115.8743128
-31.9414605,115.8522182
-31.9449436,115.842084
-31.9475186,115.8401701
-31.9567395,115.8726004
-31.9514173,115.8542878
-31.9514173,115.8542878
-31.9393372,115.853629
-31.9596767,115.8713119
-31.9393372,115.853629
-31.942201500000003,115.87069449337312
-31.9509587,115.8815756718849
-31.9365048,115.8527351
-31.9463604,115.8429209
-31.9623308,115.8795726
-31.955058,115.8518197
-31.955058,115.8518197
-31.955058,115.8518197
-31.9463521,115.8410119
-31.9521008,115.8729053
-31.9546478,115.8755607
-31.955058,115.8518197
-31.9514173,115.8542878
-31.955058,115.8518197
-31.955058,115.8518197
